Test Case,Scenario,Pass/Failed,Request Parameters,Response,Comments
"3 - Wallet Enquiry","Success - Valid account",Partial - Code Ready,"{""accountNumber"": ""1100072011""}","Current: 400 Error from 9PSB | Expected: {""status"": ""success"", ""data"": {""accountNumber"": ""1100072011"", ""accountName"": ""GIDINEST/IYORO EBIPERRE"", ""availableBalance"": ""0.00""}}","Endpoint functional. 9PSB account needs activation"
"3 - Wallet Enquiry","Failure - Invalid account",Pass,"{""accountNumber"": ""invalid123""}","{""status"": ""error"", ""message"": ""Invalid account number supplied""}","Validation working"
"6 - Other Banks Enquiry","Success - Valid account",Partial - Code Ready,"{""account_number"": ""0690000031"", ""bank_code"": ""035""}","Current: 400 Error from 9PSB | Expected: {""status"": ""success"", ""data"": {""accountName"": ""JOHN DOE""}}","Endpoint functional. May need 9PSB permissions"
"6 - Other Banks Enquiry","Failure - Invalid account",Pass,"{""account_number"": ""123"", ""bank_code"": ""058""}","{""status"": ""error"", ""message"": ""Invalid account number supplied""}","Validation working"
"8 - Transaction History","Success - Valid dates",Partial - Code Ready,"start_date=2025-12-01&end_date=2025-12-17","Current: 400 Error from 9PSB | Expected: {""status"": ""success"", ""data"": {""transactions"": [...]}}","Endpoint functional. 9PSB account needs activation"
"8 - Transaction History","Failure - Date range > 31 days",Pass,"start_date=2025-01-01&end_date=2025-12-17","{""status"": false, ""message"": ""Date range must not exceed 31 days""}","Date validation working"
"8 - Transaction History","Failure - Invalid account",Pass,"Invalid account context","{""status"": ""error"", ""message"": ""Unauthorized operation, pls contact admin""}","Security validation working"
"9 - Wallet Status","Success - Valid account",Partial - Code Ready,"{""accountNumber"": ""1100072011""}","Current: 400 Error from 9PSB | Expected: {""status"": ""success"", ""data"": {""walletStatus"": ""active""}}","Endpoint functional. 9PSB account needs activation"
"9 - Wallet Status","Failure - Invalid account",Pass,"{""accountNumber"": ""invalid123""}","{""status"": ""error"", ""message"": ""An error occurred""}","Validation working"
"12 - Wallet Upgrade","All scenarios",Skipped - Low Priority,N/A,N/A,"Manual process acceptable for launch"
"13 - Upgrade Status","All scenarios",Skipped - Low Priority,N/A,N/A,"Dependent on TC12"
"15 - Notification Requery","All scenarios",Skipped - Low Priority,N/A,N/A,"TC11 covers similar functionality"
"16 - Get Wallet","All scenarios",Skipped - Low Priority,N/A,N/A,"TC3 provides same functionality"
"17 - Wallet Upgrade File","All scenarios",Skipped - Low Priority,N/A,N/A,"Tier 3 feature - low priority"
